"","country","field","level","sex","opiEU"
"1018","Germany","Business, administration and law","A-level or equivalent","Male","Quite positive"
"1019","Germany","Business, administration and law","A-level or equivalent","Female","Quite positive"
"1020","Germany","Other","A-level or equivalent","Male","Quite negative"
"1021","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female",NA
"1022","Ireland","Social sciences, journalism and information","A-level or equivalent","Female","Quite positive"
"1023","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Quite positive"
"1024","France Metropolitan","Social sciences, journalism and information","Masters degree or equivalent","Female","Neutral"
"1025","France Metropolitan","Other","Masters degree or equivalent","Female","Quite positive"
"1026","France Antilles","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Neutral"
"1027","Tunisia","Engineering, manufacturing and construction","Masters degree or equivalent","Male","Quite positive"
"1028","Ireland","Arts and Humanities","Bachelors degree or equivalent","Female","Neutral"
"1029","France Antilles","Business, administration and law","Masters degree or equivalent","Female","Neutral"
"1030","Germany","Arts and Humanities","A-level or equivalent","Male","Quite negative"
"1031","Germany","Social sciences, journalism and information","A-level or equivalent","Male","Very positive"
"1032","France Antilles","Engineering, manufacturing and construction","Masters degree or equivalent","Male","Neutral"
"1033","Germany","Arts and Humanities","A-level or equivalent","Female","Quite negative"
"1034","Tunisia","Arts and Humanities","Masters degree or equivalent","Female","Quite positive"
"1035","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Very negative"
"1036","Germany","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Male","Quite positive"
"1037","France Metropolitan","Other","Masters degree or equivalent","Female","Neutral"
"1038","Germany","Other","A-level or equivalent","Male","Quite positive"
"1039","France Metropolitan","Health","Bachelors degree or equivalent","Female","Quite positive"
"1040","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Neutral"
"1041","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Prefer not to answer"
"1042","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"1043","Ireland","Engineering, manufacturing and construction","Bachelors degree or equivalent","Male","Very positive"
"1044","Tunisia","Business, administration and law","Masters degree or equivalent","Male","Prefer not to answer"
"1045","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Quite negative"
"1046","France Antilles","Business, administration and law","Masters degree or equivalent","Female","Neutral"
"1047","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Quite positive"
"1048","France Antilles","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Neutral"
"1049","France Metropolitan","Natural sciences, mathematics and statistics","Masters degree or equivalent","Male","Quite positive"
"1050","France Antilles","Other","Bachelors degree or equivalent","Female","Neutral"
"1051","France Metropolitan","Social sciences, journalism and information","Masters degree or equivalent","Male","Quite positive"
"1052","Germany","Natural sciences, mathematics and statistics","Masters degree or equivalent","Male","Quite positive"
"1053","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Prefer not to answer"
"1054","Germany","Business, administration and law","Bachelors degree or equivalent","Female","Quite positive"
"1055","Germany","Business, administration and law","A-level or equivalent","Female","Quite positive"
"1056","France Antilles","Health","Bachelors degree or equivalent","Male","Quite positive"
"1057","Tunisia","Arts and Humanities","Bachelors degree or equivalent","Male","Quite positive"
"1058","Turkey","Other","A-level or equivalent","Female","Quite positive"
"1059","Turkey","Other","A-level or equivalent","Female","Quite positive"
"1060","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"1061","Turkey","Business, administration and law","Bachelors degree or equivalent","Male","Very negative"
"1062","France Antilles","Other","Bachelors degree or equivalent","Female",NA
"1063","Turkey","Business, administration and law","A-level or equivalent","Male","Quite positive"
"1064","Germany","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Quite negative"
"1065","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Neutral"
"1066","Germany","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Quite positive"
"1067","Turkey","Other","A-level or equivalent","Female",NA
"1068","Tunisia","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Neutral"
"1069","Germany","Arts and Humanities","Bachelors degree or equivalent","Female",NA
"1070","France Metropolitan","Other","Bachelors degree or equivalent","Female","Quite positive"
"1071","Germany","Other","A-level or equivalent","Male","Quite negative"
"1072","Tunisia","Business, administration and law","Masters degree or equivalent","Male","Quite negative"
"1073","Tunisia","Business, administration and law","Bachelors degree or equivalent","Female","Prefer not to answer"
"1074","Germany","Business, administration and law","A-level or equivalent","Female","Quite positive"
"1075","Turkey","Business, administration and law","Bachelors degree or equivalent","Male","Prefer not to answer"
"1076","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Very positive"
"1077","Ireland","Social sciences, journalism and information","PhD or equivalent","Female","Very positive"
"1078","Germany","Health","A-level or equivalent","Female","Quite positive"
"1079","France Metropolitan","Engineering, manufacturing and construction","Bachelors degree or equivalent","Male","Quite negative"
"1080","Ireland","Other","Bachelors degree or equivalent","Female",NA
"1081","Turkey","Other","A-level or equivalent","Male","Quite positive"
"1082","Germany","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Female","Quite positive"
"1083","France Antilles","Other","Bachelors degree or equivalent","Female","Neutral"
"1084","Germany","Engineering, manufacturing and construction","A-level or equivalent","Female","Quite positive"
"1085","Turkey","Prefer not to answer","Prefer not to answer","Male","Very positive"
"1086","Germany","Arts and Humanities","A-level or equivalent","Male","Quite negative"
"1087","Turkey","Other","A-level or equivalent","Female","Quite positive"
"1088","Ireland","Social sciences, journalism and information","Prefer not to answer","Prefer not to answer","Prefer not to answer"
"1089","Turkey","Business, administration and law","A-level or equivalent","Female",NA
"1090","France Metropolitan","Social sciences, journalism and information","Masters degree or equivalent","Male","Neutral"
"1091","Tunisia","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Very positive"
"1092","Tunisia","Business, administration and law","Masters degree or equivalent","Female","Neutral"
"1093","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"1094","France Antilles","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"1095","Turkey","Business, administration and law","A-level or equivalent","Female","Quite positive"
"1096","France Metropolitan","Other","Masters degree or equivalent","Female","Very positive"
"1097","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Neutral"
"1098","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Neutral"
"1099","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"1100","Turkey","Business, administration and law","Bachelors degree or equivalent","Male","Quite negative"
"1101","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Very negative"
"1102","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Female","Quite positive"
"1103","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Quite positive"
"1104","France Metropolitan","Engineering, manufacturing and construction","Masters degree or equivalent","Female","Neutral"
"1105","Germany","Other","A-level or equivalent","Male",NA
"1106","Turkey","Business, administration and law","A-level or equivalent","Male",NA
"1107","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Very positive"
"1108","France Metropolitan","Health","Bachelors degree or equivalent","Female","Very positive"
"1109","Ireland","Engineering, manufacturing and construction","A-level or equivalent","Male","Quite positive"
"1110","Ireland","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"1111","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female",NA
"1112","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Quite positive"
"1113","France Metropolitan","Social sciences, journalism and information","Masters degree or equivalent","Male","Quite positive"
"1114","Turkey","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Male","Quite positive"
"1115","Ireland","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"1116","France Metropolitan","Arts and Humanities","PhD or equivalent","Female","Neutral"
"1117","France Metropolitan","Health","Bachelors degree or equivalent","Female","Very positive"
"1118","Germany","Other","Bachelors degree or equivalent","Female","Neutral"
"1119","France Metropolitan","Natural sciences, mathematics and statistics","Masters degree or equivalent","Male","Quite positive"
"1120","Germany","Social sciences, journalism and information","A-level or equivalent","Male","Quite positive"
"1121","Tunisia","Arts and Humanities","Masters degree or equivalent","Female","Quite positive"
"1122","Germany","Arts and Humanities","A-level or equivalent","Female","Quite positive"
"1123","France Antilles","Other","Masters degree or equivalent","Female","Neutral"
"1124","Turkey","Business, administration and law","A-level or equivalent","Male","Quite positive"
"1125","Turkey","Prefer not to answer","Bachelors degree or equivalent","Female","Prefer not to answer"
"1126","Germany","Arts and Humanities","A-level or equivalent","Female","Quite positive"
"1127","Germany","Business, administration and law","A-level or equivalent","Female","Quite positive"
"1128","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Male","Quite positive"
"1129","Germany","Health","A-level or equivalent","Male","Quite positive"
"1130","France Antilles","Health","A-level or equivalent","Male","Neutral"
"1131","Turkey","Other","Bachelors degree or equivalent","Female","Quite positive"
"1132","France Metropolitan","Arts and Humanities","Prefer not to answer","Prefer not to answer","Quite positive"
"1133","Ireland","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"1134","Turkey","Other","A-level or equivalent","Male","Quite negative"
"1135","Tunisia","Social sciences, journalism and information","Masters degree or equivalent","Female","Neutral"
"1136","Germany","Prefer not to answer","A-level or equivalent","Female","Quite positive"
"1137","Germany","Other","A-level or equivalent","Female","Neutral"
"1138","Tunisia","Health","Masters degree or equivalent","Female","Neutral"
"1139","Turkey","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"1140","Germany","Business, administration and law","Bachelors degree or equivalent","Female","Quite positive"
"1141","France Antilles","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Female","Neutral"
"1142","Tunisia","Health","Masters degree or equivalent","Female","Quite positive"
"1143","France Metropolitan","Other","Masters degree or equivalent","Male","Neutral"
"1144","Turkey","Business, administration and law","Bachelors degree or equivalent","Female","Neutral"
"1145","Germany","Other","A-level or equivalent","Female","Quite positive"
"1146","Germany","Business, administration and law","A-level or equivalent","Female","Quite positive"
"1147","Germany","Other","A-level or equivalent","Female","Very positive"
"1148","Turkey","Natural sciences, mathematics and statistics","Prefer not to answer","Male","Quite negative"
"1149","Turkey","Business, administration and law","A-level or equivalent","Male","Very positive"
"1150","Turkey","Business, administration and law","Bachelors degree or equivalent","Male","Neutral"
"1151","France Metropolitan","Other","Bachelors degree or equivalent","Female","Very positive"
"1152","Germany","Arts and Humanities","A-level or equivalent","Other","Quite negative"
"1153","Germany","Other","A-level or equivalent","Female","Quite positive"
"1154","Germany","Business, administration and law","A-level or equivalent","Male","Quite positive"
"1155","France Metropolitan","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Male",NA
"1156","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"1157","Tunisia","Social sciences, journalism and information","Masters degree or equivalent","Male","Neutral"
"1158","Turkey","Business, administration and law","A-level or equivalent","Male","Quite positive"
"1159","Germany","Business, administration and law","A-level or equivalent","Female","Quite positive"
"1160","Ireland","Other","Bachelors degree or equivalent","Male","Quite negative"
"1161","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Neutral"
"1162","France Antilles","Business, administration and law","Bachelors degree or equivalent","Female","Neutral"
"1163","Tunisia","Other","Masters degree or equivalent","Female","Neutral"
"1164","Germany","Business, administration and law","Bachelors degree or equivalent","Female","Very positive"
"1165","France Metropolitan","Health","A-level or equivalent","Male","Neutral"
"1166","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Male","Quite positive"
"1167","Turkey","Business, administration and law","Prefer not to answer","Male","Very negative"
"1168","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Neutral"
"1169","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite negative"
"1170","France Antilles","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Neutral"
"1171","France Antilles","Arts and Humanities","Masters degree or equivalent","Male","Neutral"
"1172","Germany","Business, administration and law","A-level or equivalent","Female","Very positive"
"1173","Germany","Other","A-level or equivalent","Male","Very positive"
"1174","Tunisia","Social sciences, journalism and information","Masters degree or equivalent","Female","Very positive"
"1175","Germany","Other","A-level or equivalent","Female","Quite positive"
"1176","Turkey","Other","Prefer not to answer","Male","Quite positive"
"1177","Germany","Business, administration and law","A-level or equivalent","Female","Quite positive"
"1178","Germany","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"1179","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"1180","Ireland","Social sciences, journalism and information","Masters degree or equivalent","Female","Quite positive"
"1181","France Metropolitan","Business, administration and law","Bachelors degree or equivalent","Male","Very positive"
"1182","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Neutral"
"1183","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Quite negative"
"1184","France Antilles","Natural sciences, mathematics and statistics","Masters degree or equivalent","Female","Quite positive"
"1185","France Metropolitan","Prefer not to answer","Prefer not to answer","Prefer not to answer",NA
"1186","Germany","Other","A-level or equivalent","Male","Quite positive"
"1187","Germany","Business, administration and law","A-level or equivalent","Female","Very positive"
"1188","France Metropolitan","Other","Bachelors degree or equivalent","Female","Quite positive"
"1189","France Metropolitan","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Male","Quite positive"
"1190","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Neutral"
"1191","Turkey","Business, administration and law","Bachelors degree or equivalent","Female","Neutral"
"1192","Tunisia","Health","PhD or equivalent","Female","Quite positive"
"1193","France Metropolitan","Health","Bachelors degree or equivalent","Female","Quite positive"
"1194","Turkey","Other","Prefer not to answer","Male","Quite negative"
"1195","Tunisia","Natural sciences, mathematics and statistics","Masters degree or equivalent","Female","Very positive"
"1196","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite negative"
"1197","France Metropolitan","Health","Bachelors degree or equivalent","Female","Neutral"
"1198","France Metropolitan","Engineering, manufacturing and construction","Masters degree or equivalent","Female","Very positive"
"1199","France Antilles","Natural sciences, mathematics and statistics","Masters degree or equivalent","Female","Neutral"
"1200","France Antilles","Business, administration and law","A-level or equivalent","Female","Neutral"
"1201","France Metropolitan","Health","Bachelors degree or equivalent","Male","Quite positive"
"1202","Ireland","Engineering, manufacturing and construction","Bachelors degree or equivalent","Female","Very positive"
"1203","Tunisia","Other","Bachelors degree or equivalent","Male",NA
"1204","Germany","Business, administration and law","Bachelors degree or equivalent","Male","Quite positive"
"1205","Germany","Arts and Humanities","A-level or equivalent","Female","Quite positive"
"1206","Turkey","Business, administration and law","A-level or equivalent","Male","Quite negative"
"1207","France Metropolitan","Social sciences, journalism and information","Masters degree or equivalent","Male","Quite positive"
"1208","Germany","Arts and Humanities","A-level or equivalent","Female","Quite positive"
"1209","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Neutral"
"1210","Tunisia","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite negative"
"1211","France Metropolitan","Health","Bachelors degree or equivalent","Female","Quite positive"
"1212","Tunisia","Health","Masters degree or equivalent","Female","Quite positive"
"1213","Germany","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite negative"
"1214","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Quite positive"
"1215","Germany","Arts and Humanities","A-level or equivalent","Other","Quite positive"
"1216","Tunisia","Health","Masters degree or equivalent","Female","Quite positive"
"1217","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Very positive"
"1218","France Antilles","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Male","Quite positive"
"1219","Germany","Arts and Humanities","A-level or equivalent","Female","Quite positive"
"1220","Germany","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Neutral"
"1221","Germany","Other","A-level or equivalent","Male","Quite positive"
"1222","Germany","Arts and Humanities","A-level or equivalent","Male","Very negative"
"1223","Turkey","Other","Prefer not to answer","Male","Quite positive"
"1224","Turkey","Business, administration and law","A-level or equivalent","Female","Neutral"
"1225","Turkey","Arts and Humanities","Bachelors degree or equivalent","Female","Very positive"
"1226","Turkey","Business, administration and law","A-level or equivalent","Male","Quite positive"
"1227","Germany","Business, administration and law","Bachelors degree or equivalent","Female","Quite positive"
"1228","France Antilles","Health","PhD or equivalent","Male","Neutral"
"1229","Tunisia","Engineering, manufacturing and construction","Bachelors degree or equivalent","Male",NA
"1230","France Antilles","Other","A-level or equivalent","Female","Neutral"
"1231","Ireland","Engineering, manufacturing and construction","A-level or equivalent","Male","Neutral"
"1232","Tunisia","Engineering, manufacturing and construction","Bachelors degree or equivalent","Male","Quite negative"
"1233","Germany","Arts and Humanities","Masters degree or equivalent","Female","Quite positive"
"1234","Turkey","Arts and Humanities","A-level or equivalent","Female","Quite positive"
"1235","Germany","Arts and Humanities","Masters degree or equivalent","Female","Very positive"
"1236","France Metropolitan","Natural sciences, mathematics and statistics","PhD or equivalent","Male","Quite negative"
"1237","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Neutral"
"1238","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Male","Very positive"
"1239","France Antilles","Arts and Humanities","Bachelors degree or equivalent","Female","Prefer not to answer"
"1240","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Quite positive"
"1241","Tunisia","Engineering, manufacturing and construction","Masters degree or equivalent","Male",NA
"1242","Ireland","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Neutral"
"1243","Turkey","Business, administration and law","Bachelors degree or equivalent","Male",NA
"1244","France Antilles","Arts and Humanities","PhD or equivalent","Female","Quite negative"
"1245","France Antilles","Other","Masters degree or equivalent","Male","Neutral"
"1246","Turkey","Business, administration and law","Bachelors degree or equivalent","Male","Quite positive"
"1247","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Male","Quite positive"
"1248","Germany","Arts and Humanities","A-level or equivalent","Male","Quite positive"
"1249","Turkey","Business, administration and law","Bachelors degree or equivalent","Male",NA
"1250","Germany","Arts and Humanities","A-level or equivalent","Male","Quite positive"
"1251","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Female","Neutral"
"1252","France Metropolitan","Other","Bachelors degree or equivalent","Male",NA
"1253","Turkey","Arts and Humanities","A-level or equivalent","Female","Quite positive"
"1254","Germany","Arts and Humanities","A-level or equivalent","Male","Neutral"
"1255","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Neutral"
"1256","France Metropolitan","Other","Bachelors degree or equivalent","Male","Neutral"
"1257","France Antilles","Social sciences, journalism and information","Masters degree or equivalent","Female","Quite negative"
"1258","Turkey","Business, administration and law","A-level or equivalent","Female","Quite positive"
"1259","France Antilles","Health","Bachelors degree or equivalent","Male","Neutral"
"1260","Tunisia","Other","Prefer not to answer","Female",NA
"1261","Germany","Business, administration and law","A-level or equivalent","Male","Quite positive"
"1262","France Metropolitan","Health","Bachelors degree or equivalent","Female","Quite negative"
"1263","France Antilles","Arts and Humanities","Bachelors degree or equivalent","Female","Neutral"
"1264","France Metropolitan","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Female","Quite positive"
"1265","Tunisia","Engineering, manufacturing and construction","Bachelors degree or equivalent","Male","Quite positive"
"1266","France Metropolitan","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Male","Very positive"
"1267","Turkey","Arts and Humanities","A-level or equivalent","Female","Quite positive"
"1268","Germany","Business, administration and law","A-level or equivalent","Male","Quite negative"
"1269","Tunisia","Engineering, manufacturing and construction","Masters degree or equivalent","Female","Quite positive"
"1270","France Metropolitan","Health","Bachelors degree or equivalent","Female","Neutral"
"1271","Tunisia","Arts and Humanities","Masters degree or equivalent","Female","Neutral"
"1272","France Metropolitan","Engineering, manufacturing and construction","Bachelors degree or equivalent","Female",NA
"1273","France Antilles","Other","Bachelors degree or equivalent","Female","Quite positive"
"1274","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Quite negative"
"1275","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"1276","Turkey","Other","A-level or equivalent","Female",NA
"1277","France Metropolitan","Other","Bachelors degree or equivalent","Male","Quite positive"
"1278","Turkey","Business, administration and law","A-level or equivalent","Male","Very positive"
"1279","Germany","Arts and Humanities","A-level or equivalent","Male","Quite positive"
"1280","France Antilles","Social sciences, journalism and information","Masters degree or equivalent","Male","Neutral"
"1281","Ireland","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Male","Very positive"
"1282","Turkey","Social sciences, journalism and information","Masters degree or equivalent","Female",NA
"1283","Turkey","Business, administration and law","A-level or equivalent","Male","Very positive"
"1284","France Metropolitan","Social sciences, journalism and information","Masters degree or equivalent","Female","Very positive"
"1285","Germany","Business, administration and law","Bachelors degree or equivalent","Male","Quite positive"
"1286","France Metropolitan","Natural sciences, mathematics and statistics","Masters degree or equivalent","Female","Neutral"
"1287","Tunisia","Business, administration and law","Masters degree or equivalent","Male","Quite positive"
"1288","France Metropolitan","Social sciences, journalism and information","Masters degree or equivalent","Male","Very negative"
"1289","France Metropolitan","Health","Bachelors degree or equivalent","Male","Quite positive"
"1290","Turkey","Business, administration and law","A-level or equivalent","Female","Neutral"
"1291","Turkey","Engineering, manufacturing and construction","A-level or equivalent","Female",NA
"1292","Germany","Arts and Humanities","Masters degree or equivalent","Male","Quite positive"
"1293","France Metropolitan","Health","PhD or equivalent","Female","Quite positive"
"1294","France Metropolitan","Business, administration and law","Bachelors degree or equivalent","Female","Quite positive"
"1295","France Metropolitan","Other","Bachelors degree or equivalent","Male","Neutral"
"1296","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"1297","Germany","Arts and Humanities","A-level or equivalent","Female","Quite positive"
"1298","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Quite positive"
"1299","France Metropolitan","Social sciences, journalism and information","Masters degree or equivalent","Male","Very positive"
"1300","Germany","Social sciences, journalism and information","A-level or equivalent","Other","Quite positive"
"1301","Turkey","Other","Bachelors degree or equivalent","Female","Quite positive"
"1302","Turkey","Business, administration and law","A-level or equivalent","Female","Quite positive"
"1303","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"1304","Turkey","Other","A-level or equivalent","Female","Quite negative"
"1305","Tunisia","Engineering, manufacturing and construction","Prefer not to answer","Female",NA
"1306","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Female","Quite positive"
"1307","Germany","Engineering, manufacturing and construction","Masters degree or equivalent","Male","Quite positive"
"1308","Germany","Business, administration and law","A-level or equivalent","Male","Very positive"
"1309","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Quite positive"
"1310","Turkey","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"1311","France Metropolitan","Other","Masters degree or equivalent","Male","Very positive"
"1312","Germany","Other","A-level or equivalent","Male","Quite positive"
"1313","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Female","Very negative"
"1314","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"1315","France Metropolitan","Business, administration and law","Bachelors degree or equivalent","Female","Quite positive"
"1316","Germany","Social sciences, journalism and information","A-level or equivalent","Female","Very positive"
"1317","France Metropolitan","Other","Bachelors degree or equivalent","Male","Quite positive"
"1318","France Antilles","Business, administration and law","Bachelors degree or equivalent","Male","Quite negative"
"1319","France Metropolitan","Engineering, manufacturing and construction","Bachelors degree or equivalent","Female","Quite positive"
"1320","France Antilles","Arts and Humanities","Masters degree or equivalent","Female",NA
"1321","France Antilles","Arts and Humanities","Bachelors degree or equivalent","Female","Neutral"
"1322","France Metropolitan","Social sciences, journalism and information","Masters degree or equivalent","Male","Quite negative"
"1323","France Metropolitan","Engineering, manufacturing and construction","A-level or equivalent","Female","Neutral"
"1324","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Female","Quite positive"
"1325","Germany","Other","A-level or equivalent","Female","Quite positive"
"1326","France Metropolitan","Other","Bachelors degree or equivalent","Female","Neutral"
"1327","Germany","Social sciences, journalism and information","A-level or equivalent","Male","Quite positive"
"1328","France Metropolitan","Social sciences, journalism and information","Masters degree or equivalent","Female","Quite positive"
"1329","France Metropolitan","Engineering, manufacturing and construction","Bachelors degree or equivalent","Male","Neutral"
"1330","France Metropolitan","Natural sciences, mathematics and statistics","Masters degree or equivalent","Male","Neutral"
"1331","France Metropolitan","Business, administration and law","Bachelors degree or equivalent","Female","Quite negative"
"1332","Turkey","Other","PhD or equivalent","Female","Quite positive"
"1333","Germany","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Male","Quite positive"
"1334","Turkey","Business, administration and law","Bachelors degree or equivalent","Male","Very positive"
"1335","France Antilles","Health","Bachelors degree or equivalent","Female","Quite negative"
"1336","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Neutral"
"1337","France Metropolitan","Engineering, manufacturing and construction","Bachelors degree or equivalent","Male","Quite positive"
"1338","France Antilles","Arts and Humanities","Masters degree or equivalent","Female","Neutral"
"1339","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Female","Very positive"
"1340","France Metropolitan","Other","A-level or equivalent","Female","Neutral"
"1341","Turkey","Business, administration and law","Bachelors degree or equivalent","Female","Neutral"
"1342","France Metropolitan","Natural sciences, mathematics and statistics","Masters degree or equivalent","Male","Quite positive"
"1343","France Metropolitan","Engineering, manufacturing and construction","Bachelors degree or equivalent","Male","Quite positive"
"1344","Turkey","Business, administration and law","A-level or equivalent","Male","Quite negative"
"1345","France Metropolitan","Health","Bachelors degree or equivalent","Male","Quite positive"
"1346","Germany","Business, administration and law","A-level or equivalent","Female","Neutral"
"1347","Ireland","Business, administration and law","Bachelors degree or equivalent","Female","Quite positive"
"1348","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"1349","France Antilles","Other","Bachelors degree or equivalent","Female","Quite negative"
"1350","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Quite negative"
"1351","France Metropolitan","Natural sciences, mathematics and statistics","Masters degree or equivalent","Male","Neutral"
"1352","France Metropolitan","Arts and Humanities","A-level or equivalent","Other","Neutral"
"1353","France Antilles","Health","A-level or equivalent","Female","Neutral"
"1354","Germany","Business, administration and law","A-level or equivalent","Female","Quite positive"
"1355","France Metropolitan","Engineering, manufacturing and construction","Bachelors degree or equivalent","Male","Quite positive"
"1356","France Metropolitan","Social sciences, journalism and information","Masters degree or equivalent","Male","Neutral"
"1357","France Antilles","Health","Bachelors degree or equivalent","Female","Neutral"
"1358","France Metropolitan","Other","Bachelors degree or equivalent","Other","Neutral"
"1359","Germany","Prefer not to answer","Prefer not to answer","Male","Quite positive"
"1360","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"1361","Ireland","Arts and Humanities","Bachelors degree or equivalent","Male","Very positive"
"1362","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Quite positive"
"1363","France Metropolitan","Natural sciences, mathematics and statistics","PhD or equivalent","Male","Quite positive"
"1364","Germany","Other","A-level or equivalent","Male","Very negative"
"1365","France Metropolitan","Natural sciences, mathematics and statistics","PhD or equivalent","Male","Quite positive"
"1366","France Metropolitan","Engineering, manufacturing and construction","Masters degree or equivalent","Female",NA
"1367","Tunisia","Business, administration and law","Masters degree or equivalent","Male","Very positive"
"1368","Germany","Business, administration and law","A-level or equivalent","Male","Quite positive"
"1369","Tunisia","Social sciences, journalism and information","PhD or equivalent","Male","Quite positive"
"1370","Germany","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"1371","France Antilles","Business, administration and law","Bachelors degree or equivalent","Female","Neutral"
